group	node_shape	node_role	target_classes	closed	ignored_properties	property_shape_count	sparql_constraint_count
PatternConstraint	urn:codex:bootstrap:1.0.0#PatternConstraint#shape	root	urn:codex:bootstrap:1.0.0#PatternConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
RdfGraph	urn:codex:bootstrap:1.0.0#RdfGraph#shape	root	urn:codex:bootstrap:1.0.0#RdfGraph	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
RdfTriple	urn:codex:bootstrap:1.0.0#RdfTriple#shape	root	urn:codex:bootstrap:1.0.0#RdfTriple	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	8	0
RdfTriple	urn:codex:bootstrap:1.0.0#RdfTriple#shape/not/6d9f0bc6a43fcf341c62365c2f21334ff4ce15d85c787f3776c0add8ea9d1e94	subshape				2	0
RdfTriple	urn:codex:bootstrap:1.0.0#RdfTriple#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/0	subshape				4	0
RdfTriple	urn:codex:bootstrap:1.0.0#RdfTriple#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/1	subshape				2	0
ReferenceConstraint	urn:codex:bootstrap:1.0.0#ReferenceConstraint#shape	root	urn:codex:bootstrap:1.0.0#ReferenceConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
ReferenceConstraint	urn:codex:bootstrap:1.0.0#ReferenceConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/0	subshape				2	0
ReferenceConstraint	urn:codex:bootstrap:1.0.0#ReferenceConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/1	subshape				2	0
ReferenceConstraint	urn:codex:bootstrap:1.0.0#ReferenceConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/2	subshape				3	0
ReferenceConstraint	urn:codex:bootstrap:1.0.0#ReferenceConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/3	subshape				3	0
ReferenceConstraint	urn:codex:bootstrap:1.0.0#ReferenceConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/4	subshape				3	0
RequiresChildConcept	urn:codex:bootstrap:1.0.0#RequiresChildConcept#shape	root	urn:codex:bootstrap:1.0.0#RequiresChildConcept	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
RequiresTrait	urn:codex:bootstrap:1.0.0#RequiresTrait#shape	root	urn:codex:bootstrap:1.0.0#RequiresTrait	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
Rule	urn:codex:bootstrap:1.0.0#Rule#shape	root	urn:codex:bootstrap:1.0.0#Rule	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	35	0
Schema	urn:codex:bootstrap:1.0.0#Schema#shape	root	urn:codex:bootstrap:1.0.0#Schema	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	18	0
Schema	urn:codex:bootstrap:1.0.0#Schema#shape/xone/mode/0d457bf4834448d1f3099694cbbc8107a0f5b561c10ff63c018f76aa8cba248a	subshape				8	0
Schema	urn:codex:bootstrap:1.0.0#Schema#shape/xone/mode/203f7b982ddb4fde8ad183d93203879b2fd3a69e7f2db950f71c93106591fc63	subshape				3	0
SchemaImport	urn:codex:bootstrap:1.0.0#SchemaImport#shape	root	urn:codex:bootstrap:1.0.0#SchemaImport	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
